csi_path,max_rss,gt_phi,gt_theta,rss,2ace_quality,2ace_running_time,2ace_phi,2ace_theta,rss_at_gt,loss,angle_error
./csi-dataset/homeoffice-communication-28G-csi-nlos/t16x16_r2x1_test_small/seed1005-epoch21-100.mat,-100.7107008279212,305.0,16.0,-101.12684989440979,0.06889516801389262,15.48914384841919,303.0,17.0,-111.04772516367308,0.4161490664885861,1.1499306616029856
./csi-dataset/homeoffice-communication-28G-csi-nlos/t16x16_r2x1_test_small/seed1005-epoch21-25.mat,-97.06782408795988,326.0,47.0,-146.42071909721238,-0.265194575969083,16.44584321975708,81.0,50.0,-111.94392665239745,49.35289500925251,78.3689673185601
./csi-dataset/homeoffice-communication-28G-csi-nlos/t16x16_r2x1_test_small/seed1005-epoch21-26.mat,-88.76360902776199,196.0,61.0,-89.38233881800798,-0.15472674069073045,12.910629749298096,195.0,63.0,-104.37412722926604,0.6187297902459932,2.186194360599835
./csi-dataset/homeoffice-communication-28G-csi-nlos/t16x16_r2x1_test_small/seed1005-epoch21-27.mat,-93.01828696006098,234.0,48.0,-93.40591793078178,0.06165008386262916,13.401516914367676,234.0,47.0,-106.76741266259582,0.38763097072080654,0.9999999999999002
./csi-dataset/homeoffice-communication-28G-csi-nlos/t16x16_r2x1_test_small/seed1005-epoch21-28.mat,-88.78182081337003,87.0,46.0,-88.80738413312082,-0.23041694109421895,15.996325969696045,87.0,46.0,-100.5493486053347,0.025563319750787628,1.2074182697257333e-06
./csi-dataset/homeoffice-communication-28G-csi-nlos/t16x16_r2x1_test_small/seed1005-epoch21-29.mat,-89.69346690559654,125.0,48.0,-89.76524418221275,-0.18157711577611058,14.249367237091064,125.0,49.0,-103.70091249765369,0.07177727661621702,0.9999999999999002
./csi-dataset/homeoffice-communication-28G-csi-nlos/t16x16_r2x1_test_small/seed1005-epoch21-30.mat,-91.83079836654612,61.0,88.0,-143.10734543970509,-0.13493469436807848,17.949654579162598,223.0,36.0,-108.75356700462825,51.276547073158966,122.03533536882021
./csi-dataset/homeoffice-communication-28G-csi-nlos/t16x16_r2x1_test_small/seed1005-epoch21-31.mat,-95.87692878873702,54.0,36.0,-95.958232069473,0.1899327618432195,11.79945158958435,54.0,36.0,-107.80197512938066,0.08130328073598037,0.0
./csi-dataset/homeoffice-communication-28G-csi-nlos/t16x16_r2x1_test_small/seed1005-epoch21-32.mat,-93.68561322717632,183.0,68.0,-93.9813973221081,-0.34333299658756333,15.183284282684326,182.0,69.0,-108.03656695717932,0.2957840949317756,1.3658849490661769
./csi-dataset/homeoffice-communication-28G-csi-nlos/t16x16_r2x1_test_small/seed1005-epoch21-33.mat,-89.74961766564911,346.0,62.0,-89.96801284809695,0.10734132515580097,15.590315341949463,347.0,61.0,-106.894747440817,0.21839518244783562,1.331269360021279
